Name,Brand,Description,Notes,Image URL,Scent
Sola Parfum,Di Ser," A tribute to the expanse of space extending from the sky to the flower and fruit laden earth below, Sola, the newest offering from DI SER and perfumer Yasuyuki Shinohara, showcases the natural flora of Hokkaido, Japan with locally sourced and sustainably harvested ingredients from DI SERs own gardens. Starting with aromatic notes of freshly harvested Hokkaido lavender, lemongrass and yuzu, the uplifting scent moves to a floral middle of Japanese rose, magnolia, geranium and jasmine before settling on a spiritual bed of frankincense and myrrh. The spiritual and meditative scent evokes an imagery of a peaceful universe in complete harmony with the bounties of nature and of peace and contentment with its generous offerings."," Lavender, Yuzu, Lemongrass, Magnolia, Geranium, Jasmine, Frankincense, Myrrh",https://static.luckyscent.com/images/products/788011.jpg?width=400&404=product.png, lavender
A Blvd. Called Sunset Eau de Parfum,A Lab on Fire," There's no way A Lab On Fire could relocate to Los Angeles and not pay tribute to L.A.'s most iconic Boulevard, home to the legendary neon-drenched rock stages of the Strip, the crashing waves of the Palisades, and everything in between. The result is A Blvd. Called Sunset, a bright, fresh, just the right amount of edgy journey across our wild and beautiful city. Bright, fresh bergamot sparkles in a smooth, salty, almond-inflected breeze, while a masculine leaning-floral blend of violet and jasmine combines with a leather that evokes the biker bars and metal clubs so famously captured in Ed Ruscha's seminal photo book. A smooth, intoxicating base of sandalwood, vanilla, and tonka goes down like a perfect mixed drink, comforting and sensual all at once. If you ever get a chance to take a trip down Sunset, there's nothing like it in the world. But the next best thing is a day spent wearing A Blvd. Called Sunset- a perfect tribute to the heart and soul of Los Angeles."," Bergamot, almond, violet, jasmine, leather, sandalwood, vanilla, tonka",https://static.luckyscent.com/images/products/56719.jpg?width=400&404=product.png, bergamot
Eshu Extrait,PRIN," Eshu, the mischievous god of Yoruba legend, who translates between the gods and all the peoples of earth. Eshu, a groundbreaking 2000 Fall/Autumn collection from the late Alexander McQueen, which inspired Prin Lomros to create this scent. Eshu, the fragrance, a universally fluent dialogue between rich, earthy tobacco, fiery spices, sweet cognac, and touches of animalics, woods, and musk. The synthesis is surprisingly smooth, a powerful yet utterly wearable boozy tobacco with intense, sophisticated resin and spice tones, distinctive and unforgettable. An ingenious juxtaposition of traditional tribal elements and modern twists, Eshu is not to be missed."," Tobacco, hay, elemi, copaiba, olibanum, nutmeg, black pepper, castoreum, atlas cedar, oakmoss, cognac, ambroxan, norlimbanol, cinnamon, cumin seed, ash",https://static.luckyscent.com/images/products/847005.jpg?width=400&404=product.png, tobacco
Saringkarn Extrait,PRIN," A taste of love and seduction. The value of love between lover, friend and family and humanity. A taste of happiness. Saringkarn, a tribute to the traditional and ancient Thai form of literary composition, is a tantalizing and unique scent somewhere between gourmand, floral, and oriental, where dark and sensual tones of oud, amber, leather, and tobacco gain an alluring, romantic sweetness from beeswax, dark chocolate, and a bouquet of exquisite roses. Sweet, boozy prune gives a cognac-like richness, while a darker smoke note preserves just the right amount of provocative danger. Like any true work of literary genius, it's up to you how to interpret it all."," Saffron, champaca, fir balsam, beeswax, amber, damask rose, rose de mai, tobacco, leather, dark chocolate, prune, oud, musk, oakmoss, ambrette, smoke, incense, ylang ylang",https://static.luckyscent.com/images/products/847006.jpg?width=400&404=product.png, saffron
L'Homme A La Rose Eau de Parfum,Maison Francis Kurkdjian," Francis Kurkdjian has a talent for making masculines that balance French sophistication with modern style- classic enough to impress, cool enough to wear anywhere. And while he's already given men a sultry, evening rose with Lumiere Noire, his newest release reinvents the masculine rose as a fresh, bright, all-day sexy stunner. L'Homme A La Rose doesn't lack for floral strength, as it's built around a dynamic pair of two of the world's most renowned roses: deep, sweet Damask roses from Bulgaria, and smooth, fresh Centifolia rose from Grasse. A fruity, zesty grapefruit accord accentuates the floral roundness, while a dynamic ambery wood accord blends with aromatic sage for a contemporary, distinctive signature. A rose that any man will want atop his wardrobe, L'Homme A La Rose is a new standard for masculine florals."," Grapefruit, Damascene rose, amber woods accord, sage, Centifolia rose, labdanum",https://static.luckyscent.com/images/products/49890.jpg?width=400&404=product.png, grapefruit
Rozu Eau de Parfum,Aesop," The beauty of Aesop fragrances lies in their ability to elegantly balance between sophistication and naturalism- an Aesop scent is gorgeously refined, yet possessed with an unmistakable and primal connection to the raw materials from which it was created. So it shouldn't surprise anyone to hear that their foray into rose scents is no delicate young flower, but a lush, gorgeously green wild rose with vibrant shiso accords, woods and spice, and a light touch of sophisticated smoke. The rose note is sumptuously romantic, with enough floral fullness to make any rose lover swoon, but the eastern influence of the aromatics and guaiac wood impart a soulful spirituality that set Rozu apart. A beautiful floral that's every bit an Aesop scent, Rozu is a must try for rose lovers."," Rose, shiso, guaiac",https://static.luckyscent.com/images/products/30156.jpg?width=400&404=product.png, rose
Champs Lunaires Eau de Toilette,Rogue Perfumery," An intangible summer night; Moonlit fields of white flowers.Inspired by Serge Lutens' Tubereuse Crimenelle, and the lusty creamy fruit notes of Piguet's Fracas, Champs Lunaires, was an intense journey for perfumer Manuel Cross, a personal challenge to create a tuberose of satisfying balance -- indolic, green, buttery, creamy, realistic, uplifting."," Tuberose, White Rose Petals, Pomelo, Sandalwood, Coconut Milk, Musk",https://static.luckyscent.com/images/products/838010.jpg?width=400&404=product.png, tuberose
Prends-Moi Eau de Parfum,Isabey," Take me.It's a bold and forward statement in any era, and in the early 1930's, when Isabey first released Prends-Mois (as it was called then), it was shockingly controversial- and highly coveted. Now, the iconic scent has been relaunched as Prends-Moi, and we're pleased to report the fragrance housed in the emblematic red bottle has every bit of the passionate romanticism that turned heads almost a century before. Prends-Moi opens with a fiery spark of pink pepper, leading to a lush and daring contrast of florals in the heart- a light, innocent rose intertwined with bold, unapologetically carnal tuberose. The powdered elegance of lipstick is balanced against an almost animalic cocoa, representing a seduction both sophisticated and primal. Erotic, romantic, and classic, Prends-Moi is everything French perfume should be."," Bergamot, pink pepper, raspberry, rose, red satin lipstick, tuberose, cardamom, iris, cocoa, sandalwood, amber",https://static.luckyscent.com/images/products/27110.jpg?width=400&404=product.png, bergamot
Celestial Eau de Parfum,Electimuss," Heavenly, divine and of the gods. Gazing to the stars, the Romans were keen astronomers naming the planets after gods, and such was their belief in the power and influence of the skies over their destiny that they were also keen devotees of astrology.   The olibanum at the heart of this scent is a light, lemony incense with a conifer undertone, lifted by a spicy rose and underpinned by a warm woody base. Luminous, like the heavenly bodies which inspired it."," Saffron, raspberry, black pepper, olibanum, Indian rose absolut, Bulgarian rose, pepper, cedar, Paraguan guaiac wood, tonka",https://static.luckyscent.com/images/products/855010.jpg?width=400&404=product.png, saffron
Amber Eau de Parfum,Rook Perfumes," When we say we love amber scents, we don't just mean the traditional blend of labdanum and vanilla that are so often considered the definitive ""amber"" note in perfume. Which is good, because neither ingredient is anywhere to be found in Rook's new Amber scent. What we really love, however, is the spirit of amber- powerful, sensual, spiritual, and comforting, all at once- and that, this Amber has in multitudes. It opens with a genuinely hypnotic smoke note- sweetened with saffron, but rich and animalic, coaxing out the syrupy amber-maple heart like semi-fossilized resin seeping from ancient bark. A tonka bean base adds a touch of familiar vanillic tone, but stripped of the typically creamy dessert trappings. This amber glows with the intensity of late summer dusk in the wilderness, satisfyingly sweet but also exhilarating and primal. In other words, exactly what you'd hope for from Rook."," saffron, smoke, incense, amber, maple, black musk, tonka bean and resins",https://static.luckyscent.com/images/products/859006.jpg?width=400&404=product.png, saffron
